hint,keyword
Eszköz,Teleszkóp
Eszköz,Toll
Eszköz,Tűzőgép
Eszköz,Vödör
Étel/Ital,Ananász
Étel/Ital,Articsóka
Étel/Ital,Banán
Étel/Ital,Bor
Étel/Ital,Borsó
Étel/Ital,Buborékos tea
Étel/Ital,Eper
Étel/Ital,Fagylalt
Étel/Ital,Fehérrépa
Étel/Ital,Fokhagyma
Étel/Ital,Garnélarák
Étel/Ital,Gofri
Étel/Ital,Gomba
Étel/Ital,Hamburger
Étel/Ital,Homár
Étel/Ital,Hot Dog
Étel/Ital,Jégkrém
Étel/Ital,Kókusz
Étel/Ital,Kukorica
Étel/Ital,Martini
Étel/Ital,Méz
Étel/Ital,Muffin
Étel/Ital,Oldalas
Étel/Ital,Palacsinta
Étel/Ital,Paprika
Étel/Ital,Paradicsom
Étel/Ital,Pite
Étel/Ital,Pizza
Étel/Ital,Répa
Étel/Ital,Sajt
Étel/Ital,Savanyú uborka
Étel/Ital,Spagetti
Étel/Ital,Spárga
Étel/Ital,Sushi
Étel/Ital,Szalonna
Étel/Ital,Szendvics
Étel/Ital,Taco
Étel/Ital,Tea
Étel/Ital,Tojás
Étel/Ital,Torta
Étel/Ital,Tök
Helyszín,Állatkert
Helyszín,Árkád
Helyszín,Ausztrália
Helyszín,Bank
Helyszín,Bánya
Helyszín,Barlang
Helyszín,Benzinkút
Helyszín,Bíróság
Helyszín,Börtön
Helyszín,Cirkusz
Helyszín,Edzőterem
Helyszín,Egyiptom
Helyszín,Élelmiszerbolt
Helyszín,Erdő
Helyszín,Étterem
Helyszín,Farm
Helyszín,Fürdőszoba
Helyszín,Gyár
Helyszín,Ház
Helyszín,Hotel
Helyszín,India
Helyszín,Iskola
Helyszín,Japán
Helyszín,Játszótér
Helyszín,Kanada
Helyszín,Kaszinó
Helyszín,Kikötő
Helyszín,Kína
Helyszín,Kísértetház
Helyszín,Kórház
Helyszín,Könyvtár
Helyszín,Medence
Helyszín,Metró
Helyszín,Mexikó
Helyszín,Művészeti Múzeum
Helyszín,Óceán
Helyszín,Olaszország
Helyszín,Parkoló
Helyszín,Repülőtér
Helyszín,Sivatag
Helyszín,Stadion
Helyszín,Színház
Helyszín,Temető
Helyszín,Templom
Helyszín,Tengerpart
Helyszín,USA
Helyszín,Űr
Helyszín,Város
Helyszín,Vidámpark
Jármű,Autó
Jármű,Babakocsi
Jármű,Bicikli
Jármű,Buldózer
Jármű,Busz
Jármű,Csónak
Jármű,Egykerekű
Jármű,Helikopter
Jármű,Hőlégballon
Jármű,Kamion
Jármű,Kutyaszán
Jármű,Lakóautó
Jármű,Léghajó
Jármű,Mentőautó
Jármű,Motorbicikli
Jármű,Repülőgép
Jármű,Robogó
Jármű,Sífelvonó
Jármű,Szekér
Jármű,Talicska
Jármű,Tank
Jármű,Tengeralattjáró
Jármű,Traktor
Jármű,Tűzoltóautó
Jármű,UFO
Jármű,Űrhajó
Jármű,Vonat
Konyha,Edényszárító
Konyha,Hűtő
Konyha,Késtartó
Konyha,Pirító
Konyha,Rizsfőző
Konyha,Sószóró
Konyha,Szűrő
Konyha,Turmixgép
Konyha,Tűzhely
Konyha,Vízforraló
Legenda,Boszorkány
Legenda,Egyszarvú
Legenda,Főnix
Legenda,Griffmadár
Legenda,Kaszás
Legenda,Kentaur
Legenda,Kraken
Legenda,Leprikón
Legenda,Loch Ness-i szörny
Legenda,Manó
Legenda,Pegazus
Legenda,Sárkány
Legenda,Sellő
Legenda,Szellem
Legenda,Törpe
Legenda,Tündér
Legenda,Űrlény
Legenda,Vámpír
Legenda,Vérfarkas
Legenda,Zombi
Orvosi,Agy
Orvosi,Defibrillátor
Orvosi,Fecskendő
Orvosi,Fogszabályzó
Orvosi,Hordágy
Orvosi,Hőmérő
Orvosi,Infúzió
Orvosi,Kerekes szék
Orvosi,Koponya
Orvosi,Mankó
Orvosi,Röntgen
Orvosi,Sebtapasz
Orvosi,Szív
Orvosi,Sztetoszkóp
Orvosi,Vérnyomásmérő
Ruházat/Kiegészítők,Baseball sapka
Ruházat/Kiegészítők,Csokornyakkendő
Ruházat/Kiegészítők,Diploma sapka
Ruházat/Kiegészítők,Dzseki
Ruházat/Kiegészítők,Előke
Ruházat/Kiegészítők,Fejhallgató
Ruházat/Kiegészítők,Fülbevaló
Ruházat/Kiegészítők,Hátizsák
Ruházat/Kiegészítők,Karóra
Ruházat/Kiegészítők,Kesztyű
Ruházat/Kiegészítők,Klumpa
Ruházat/Kiegészítők,Korona
Ruházat/Kiegészítők,Magassarkú cipő
Ruházat/Kiegészítők,Monokli
Ruházat/Kiegészítők,Overál
Ruházat/Kiegészítők,Öltöny
Ruházat/Kiegészítők,Öv
Ruházat/Kiegészítők,Pelenka
Ruházat/Kiegészítők,Pénztárca
Ruházat/Kiegészítők,Rövidnadrág
Ruházat/Kiegészítők,Sál
Ruházat/Kiegészítők,Séf sapka
Ruházat/Kiegészítők,Szemkötő
Ruházat/Kiegészítők,Szemüveg
Ruházat/Kiegészítők,Szombréró
Ruházat/Kiegészítők,Tornacipő
Ruházat/Kiegészítők,Zokni
Személy,Baba
Személy,Bébiszitter
Személy,Bíró
Személy,Bohóc
Személy,Bűvész
Személy,Cowboy
Személy,DJ
Személy,Fodrász
Személy,Fogorvos
Személy,Gazda
Személy,Gondnok
Személy,Hóhér
Személy,Kalóz
Személy,Kidobó
Személy,Király
Személy,Lovag
Személy,Művész
Személy,Nindzsa
Személy,Orvlövész
Személy,Orvos
Személy,Pénztáros
Személy,Pincér
Személy,Postás
Személy,Programozó
Személy,Pultos
Személy,Rabló
Személy,Recepciós
Személy,Rendező
Személy,Rendőr
Személy,Séf
Személy,Szamuráj
Személy,Szerelő
Személy,Színész
Személy,Tanár
Személy,Terapeuta
Személy,Tiltakozó
Személy,Tornász
Személy,Tudós
Személy,Tűzoltó
Személy,Űrhajós
Személy,Vízvezeték-szerelő
Személy,Zenész
Szórakozás,Amerikai foci
Szórakozás,Asztali tenisz
Szórakozás,Baseball
Szórakozás,Bicikli
Szórakozás,Billiárd
Szórakozás,Bowling
Szórakozás,Búvárkodás
Szórakozás,Diszkó
Szórakozás,Ejtőernyőzés
Szórakozás,Festészet
Szórakozás,Filmek
Szórakozás,Flipper
Szórakozás,Frizbi
Szórakozás,Futball
Szórakozás,Golf
Szórakozás,Gördeszkázás
Szórakozás,Harcművészet
Szórakozás,Hasbeszélés
Szórakozás,Horgászás
Szórakozás,Hullámvasút
Szórakozás,Íjászat
Szórakozás,Jégkorong
Szórakozás,Jóga
Szórakozás,Jojó
Szórakozás,Kemping
Szórakozás,Képregény
Szórakozás,Kórus
Szórakozás,Kosárlabda
Szórakozás,Körhinta
Szórakozás,Lovagi torna
Szórakozás,Lovaglás
Szórakozás,Ökölvívás
Szórakozás,Röplabda
Szórakozás,Rúdugrás
Szórakozás,Sakk
Szórakozás,Sárkányrepülő
Szórakozás,Síelés
Szórakozás,Sziklamászás
Szórakozás,Szörfözés
Szórakozás,Tenisz
Szórakozás,Tollaslabda
Szórakozás,Túrázás
Szórakozás,Vadászat
Szórakozás,Videójátékok
Szórakozás,Vívás
Technológia,Ágyú
Technológia,Billentyűzet
Technológia,Dinamit
Technológia,Egér
Technológia,Elem
Technológia,Elosztó
Technológia,Fűnyíró
Technológia,Gránát
Technológia,Kamera
Technológia,Konnektor
Technológia,Lámpa
Technológia,Laptop
Technológia,Lávalámpa
Technológia,Lift
Technológia,Műhold
Technológia,Nyomtató
Technológia,Pisztoly
Technológia,Porszívó
Technológia,Rádió
Technológia,Számítógép
Technológia,Telefon
Technológia,Telefonoszlop
Technológia,TV
Technológia,Varrógép
Technológia,Ventilátor
Technológia,Villanykörte
Technológia,Vízhűtő
Technológia,Wi-Fi
